R,I
-999,-999
-4.307357895,-0.414617474
-3.488727779,-0.019981506
-2.561273182,0.806972434
-1.518298768,1.503452214
-0.3996873,1.954256086
-0.414396276,1.708584284
0.346243834,2.065152002
0.713187174,2.137302938
1.125674843,2.120485697
1.524997108,2.094500938
1.907550829,1.751994439
2.195541721,2.060753841
2.188767883,2.688233035
2.300808451,3.209911795
2.652763145,3.564767898
2.816722874,4.404526616
2.60956829,4.702097892
2.596448655,4.397264767
2.443628403,3.474375802
1.784481374,2.55252452
2.067763652,0.998877099
2.049416649,0.051091514
0.419279284,-1.907783767
0.320145262,-1.99220283
0.190714271,-2.022955787
0.21417668,-2.371984864
0.299007785,-2.41043163
-0.424717061,-2.034220821
-1.586150794,-1.651935994
-1.916264713,-1.289850561
-2.129055886,-0.236109544
-1.744406217,-1.604033402
-999,-999
-2.010834101,-1.931941607
-2.376261944,-0.934505317
-2.268881084,-0.037198497
-1.856370377,0.881988065
0.597224536,1.782177808
1.077266983,1.676456787
1.773049838,1.245775677
2.260600022,0.655646806
2.383782039,0.605567605
2.570986006,0.775169999
2.933457155,1.262679841
3.593243499,1.843679153
4.360558017,2.620085622
5.085280228,3.447713997
5.702732207,4.047250553
5.935214203,4.34254148
5.723964401,4.5808809
5.081706265,4.444747893
4.305863605,3.941869896
3.400406805,3.207954161
2.852544796,2.627734078
2.018430778,1.920069464
2.009230737,0.127032321
1.707181817,-0.676010023
1.550400287,-1.036634348
1.407799126,-1.71423007
1.296298488,-1.818847488
0.794668107,-1.789136789
-2.140833501,0.963073815
-0.333283645,2.988444649
-1.582254925,2.026132799
-2.426459923,-1.376324322
-999,-999
0.535377994,-2.14477999
-0.202084954,-2.203738505
-0.142993942,-2.165594198
1.322240864,-1.615782822
1.701284007,-0.800247433
2.107591347,-0.963388
2.18720417,-1.187202823
2.175164073,-1.454608491
2.445302844,-1.267753106
2.847460765,-1.214603093
3.697701679,-0.965529885
4.914108234,-0.294801703
6.215632131,0.323097462
7.407036207,0.988413519
8.390812129,1.4635316
8.569973196,1.920866361
8.341021938,2.128361734
7.382566175,2.440651747
6.173140731,2.658440626
4.624903577,2.78389089
3.594753098,2.643421786
2.713173704,2.39358683
2.330111676,1.45620357
1.811741636,0.722191619
1.723129588,-0.17346385
1.785369809,-0.733352766
1.822494626,-0.841085366
1.78884182,0.093333112
1.124977358,2.195350924
0.697098689,2.98673572
-0.728664437,2.921708336
-3.302542684,1.224257607
-999,-999
-2.596418825,-3.75318964
-0.248102221,-3.357329669
0.661246059,-2.084553981
1.63270081,-1.352737157
1.900152399,-1.290663133
2.239497998,-1.840975774
2.136604703,-1.909842214
2.091856961,-2.246927787
2.393221873,-2.317229609
2.794341493,-2.419860226
3.423662059,-2.955671622
4.731626381,-3.241929931
6.268306932,-3.22893077
7.444172569,-3.428935127
8.375877669,-3.814763062
8.648677796,-3.623034942
8.523820414,-3.026187871
7.832737494,-1.855587473
6.879267647,-0.526281288
5.431938143,0.530175769
4.087987724,0.879659254
3.003399244,0.725405353
2.136625197,1.288495265
1.838602247,0.849237095
1.378356914,-1.242861126
1.331381647,-1.505269776
1.91351292,-1.351948912
2.462188471,0.052339181
2.595686205,1.193735004
2.015518934,2.645338841
0.855259432,3.997754847
0.677562216,5.219447088
-999,-999
-3.90991515,-4.529107349
-1.440606643,-3.849865308
0.016828913,-2.188941209
1.931444741,-0.743916066
2.656580519,-0.396204815
2.76985761,-1.549377789
2.509121634,-1.74683353
2.324801404,-2.364227449
2.226553517,-2.835162735
2.175803539,-3.28971887
2.10948016,-4.222672498
2.175259928,-5.475550889
2.899171737,-6.589305734
3.31818388,-7.623530765
3.875705501,-8.456791912
3.853747775,-8.606616018
4.377656932,-7.883120004
4.677501005,-6.534202727
4.739880499,-4.855094505
3.727390442,-3.608894255
2.544151789,-2.927735447
1.117463118,-2.69722738
-0.737056017,-2.350607164
-1.24967375,-1.76526888
-0.468933948,-1.915184005
0.079531087,-2.120597153
1.087142938,-2.355766564
2.118560335,-1.89202733
2.765120234,-0.858235501
2.858922065,1.294838805
2.922916885,2.987566657
2.801965146,4.748929052
-999,-999
-5.140304769,-3.728992566
-2.856681659,-2.891579007
-0.727548802,-1.411280282
1.541648992,-0.213344073
2.277627502,0.486820299
2.714761176,-0.92498409
2.45661089,-1.168584669
2.135748705,-2.156958887
1.630367098,-3.014707246
0.855346448,-3.661877641
0.291108208,-4.426483946
-0.8632904,-5.554705682
-1.865597356,-6.712679846
-2.286944215,-7.930638976
-2.150445107,-9.080347022
-1.800104208,-9.356801082
-1.229724111,-8.972261054
-0.733037081,-8.080964639
-0.222650031,-6.803542497
-0.6640255,-5.107952712
-1.189717802,-3.667951817
-1.638862977,-2.549438397
-2.258720283,-1.720530807
-2.168571908,-1.681946761
-1.705212404,-1.918180176
-0.906366583,-2.357154879
0.151437986,-3.076165851
0.990810214,-3.290858315
1.943250389,-2.41782671
3.265796415,-0.668472909
3.211004509,0.815086212
2.572490048,3.137757557
-999,-999
-4.036475539,-2.057081033
-3.107108959,-1.083201142
-1.366292608,-0.661002737
1.311879544,0.854884917
1.282892996,1.279129025
1.557623192,-1.800887228
1.675814038,-1.630218295
0.863735001,-2.695860205
0.006785158,-3.159111813
-1.163598395,-3.147712853
-1.964533847,-3.304302855
-3.296965474,-3.595780104
-4.500343823,-4.088644564
-5.164752039,-5.045528801
-5.452323129,-6.246763708
-5.110856363,-6.947949233
-4.813130696,-6.713860871
-4.443084476,-6.03035806
-4.05854228,-4.923829186
-3.475862501,-3.548779656
-3.362612579,-2.380955817
-3.436214869,-1.278231238
-3.262374602,-1.04047901
-2.602719446,-1.460254307
-1.757373726,-1.973361684
-0.759353058,-2.678446505
0.277197105,-3.554529588
1.044826601,-3.951341829
1.929097859,-3.236749353
2.816552426,-1.494208116
2.447351936,-0.747046482
2.019372647,1.924078368
-999,-999
-3.694923067,0.507601074
-3.003463966,0.652322072
-1.631164011,0.598525527
0.093135561,2.00913496
-0.866410575,1.289786718
-1.24336117,-1.508676047
-0.519546083,-1.87567127
-1.373976447,-2.287609515
-1.631567929,-2.516295129
-2.325165747,-2.0833284
-3.114007323,-1.579982581
-4.147303427,-1.363935363
-5.121804858,-1.551029637
-5.711798862,-2.439484776
-6.228511865,-3.673849734
-6.231754796,-4.502601554
-6.050532755,-4.287362096
-5.555456082,-3.781108226
-5.202269219,-2.665735979
-4.508624217,-1.536546584
-4.135487177,-0.57777124
-3.848277123,-0.067826316
-3.686825774,-0.35270142
-2.873849603,-1.145174616
-1.834238605,-1.874405222
-0.662423086,-2.793929545
0.384080692,-3.828751119
1.420985638,-4.221558086
2.162654326,-3.452568069
2.45570255,-1.882210286
1.502031761,-1.685343295
1.816619167,-1.27389431
